年,月,日,日期,分局,所,經度,緯度,種類
106,11,14,20171114,中壢分局,龍興所,121.249371,24.928013,汽車竊盜
106,11,11,20171111,中壢分局,興國所,121.2159313,24.9572023,汽車竊盜
106,11,4,20171104,中壢分局,仁愛所,121.2568546,24.946726,汽車竊盜
106,11,1,20171101,中壢分局,文化所,121.2586426,24.9877592,汽車竊盜
106,10,31,20171031,中壢分局,龍興所,121.250358,24.9293519,汽車竊盜
106,10,31,20171031,中壢分局,文化所,121.2534201,24.9792666,汽車竊盜
106,10,25,20171025,中壢分局,興國所,121.2203507,24.9649997,汽車竊盜
106,10,24,20171024,中壢分局,龍興所,121.2314467,24.933595,汽車竊盜
106,10,21,20171021,中壢分局,文化所,121.2530189,24.971551,汽車竊盜
106,10,21,20171021,中壢分局,文化所,121.2471652,24.9784473,汽車竊盜
106,10,11,20171011,中壢分局,龍興所,121.2582462,24.9317846,汽車竊盜
106,10,8,20171008,中壢分局,龍興所,121.225354,24.9473518,汽車竊盜
106,9,25,20170925,中壢分局,普仁所,121.2366244,24.9492953,汽車竊盜
106,9,21,20170921,中壢分局,普仁所,121.2329132,24.9512846,汽車竊盜
106,9,21,20170921,中壢分局,普仁所,121.2343605,24.9639016,汽車竊盜
106,9,17,20170917,中壢分局,龍興所,121.2309209,24.9405686,汽車竊盜
106,9,17,20170917,中壢分局,龍興所,121.2492442,24.9280318,汽車竊盜
106,9,17,20170917,中壢分局,大崙所,121.180534,24.9878714,汽車竊盜
106,9,13,20170913,中壢分局,仁愛所,121.2655525,24.9545385,汽車竊盜
106,9,11,20170911,中壢分局,普仁所,121.2362604,24.963155,汽車竊盜
106,9,10,20170910,中壢分局,內壢所,121.253403,24.9778038,汽車竊盜
106,9,9,20170909,中壢分局,普仁所,121.2362604,24.963155,汽車竊盜
106,9,7,20170907,中壢分局,興國所,121.2148581,24.9644019,汽車竊盜
106,9,4,20170904,中壢分局,普仁所,121.2363591,24.953702,汽車竊盜
106,9,3,20170903,中壢分局,仁愛所,121.2583073,24.9494825,汽車竊盜
106,8,26,20170826,中壢分局,文化所,121.2325999,24.9955998,汽車竊盜
106,8,17,20170817,中壢分局,普仁所,121.2460953,24.9552517,汽車竊盜
106,8,16,20170816,中壢分局,文化所,121.2403891,24.962063,汽車竊盜
106,8,13,20170813,中壢分局,仁愛所,121.2568492,24.9468319,汽車竊盜
106,8,10,20170810,中壢分局,仁愛所,121.2525812,24.9456542,汽車竊盜
106,8,6,20170806,中壢分局,文化所,121.2478519,24.9792444,汽車竊盜
106,7,31,20170731,中壢分局,普仁所,121.2365231,24.9589116,汽車竊盜
106,7,26,20170726,中壢分局,興國所,121.2054747,24.9592756,汽車竊盜
106,7,18,20170718,中壢分局,興國所,121.2117404,24.9602099,汽車竊盜
106,7,14,20170714,中壢分局,龍興所,121.2377478,24.9322269,汽車竊盜
106,7,3,20170703,中壢分局,仁愛所,121.2567291,24.946726,汽車竊盜
106,6,17,20170617,中壢分局,普仁所,121.2371469,24.9506092,汽車竊盜
106,6,12,20170612,中壢分局,普仁所,121.247631,24.9438941,汽車竊盜
106,6,6,20170606,中壢分局,龍興所,121.23147,24.9381149,汽車竊盜
106,6,6,20170606,中壢分局,仁愛所,121.2499464,24.94314,汽車竊盜
106,5,30,20170530,中壢分局,文化所,121.2544462,24.97833,汽車竊盜
106,5,29,20170529,中壢分局,仁愛所,121.2536631,24.9394835,汽車竊盜
106,5,28,20170528,中壢分局,普仁所,121.2365572,24.9532715,汽車竊盜
106,5,28,20170528,中壢分局,中福所,121.2299802,24.9869442,汽車竊盜
106,5,18,20170518,中壢分局,自強所,121.2636987,24.9721622,汽車竊盜
106,5,18,20170518,中壢分局,青埔所,121.2010694,25.0106973,汽車竊盜
106,5,16,20170516,中壢分局,普仁所,121.2314616,24.9491684,汽車竊盜
106,5,16,20170516,中壢分局,大崙所,121.167319,24.9584756,汽車竊盜
106,5,8,20170508,中壢分局,龍興所,121.2544153,24.9371304,汽車竊盜
106,5,6,20170506,中壢分局,普仁所,121.2365049,24.9589268,汽車竊盜
106,5,4,20170504,中壢分局,文化所,121.2457379,24.9725723,汽車竊盜
106,5,1,20170501,中壢分局,普仁所,121.2441428,24.9543283,汽車竊盜
106,4,24,20170424,中壢分局,興國所,121.217362,24.9792441,汽車竊盜
106,4,20,20170420,中壢分局,青埔所,121.2204371,25.0237679,汽車竊盜
106,4,19,20170419,中壢分局,龍興所,121.2581746,24.9317982,汽車竊盜
106,4,18,20170418,中壢分局,普仁所,121.2312563,24.9530598,汽車竊盜
106,4,17,20170417,中壢分局,仁愛所,121.2569849,24.9385616,汽車竊盜
106,4,12,20170412,中壢分局,中福所,121.2349589,24.9707868,汽車竊盜
106,4,9,20170409,中壢分局,仁愛所,121.2524417,24.9455559,汽車竊盜
106,4,9,20170409,中壢分局,龍興所,121.251074,24.937604,汽車竊盜
106,4,7,20170407,中壢分局,龍興所,121.237018,24.934057,汽車竊盜
106,4,6,20170406,中壢分局,興國所,121.2018379,24.9583941,汽車竊盜
106,4,6,20170406,中壢分局,仁愛所,121.2529405,24.9446929,汽車竊盜
106,4,4,20170404,中壢分局,普仁所,121.2296977,24.9455461,汽車竊盜
106,4,3,20170403,中壢分局,興國所,121.2134107,24.9590974,汽車竊盜
106,4,1,20170401,中壢分局,興國所,121.2101933,24.9598343,汽車竊盜
106,4,1,20170401,中壢分局,普仁所,121.2330851,24.9559723,汽車竊盜
106,3,27,20170327,中壢分局,中壢所,121.2322437,24.954658,汽車竊盜
106,3,26,20170326,中壢分局,普仁所,121.2362957,24.9789629,汽車竊盜
106,3,25,20170325,中壢分局,自強所,121.264561,24.9608649,汽車竊盜
106,3,24,20170324,中壢分局,龍興所,121.2500293,24.941017,汽車竊盜
106,3,23,20170323,中壢分局,自強所,121.2628,24.96525,汽車竊盜
106,3,22,20170322,中壢分局,龍興所,121.2582,24.93083,汽車竊盜
106,3,21,20170321,中壢分局,龍興所,121.2453,24.93931,汽車竊盜
106,3,19,20170319,中壢分局,仁愛所,121.2592,24.94376,汽車竊盜
106,3,16,20170316,中壢分局,自強所,121.2628,24.96479,汽車竊盜
106,3,16,20170316,中壢分局,龍興所,121.2333,24.93272,汽車竊盜
106,3,15,20170315,中壢分局,普仁所,121.2381,24.95626,汽車竊盜
106,3,13,20170313,中壢分局,中壢所,121.225,24.94947,汽車竊盜
106,3,12,20170312,中壢分局,龍興所,121.2529,24.93473,汽車竊盜
106,3,11,20170311,中壢分局,青埔所,121.2204,25.00604,汽車竊盜
106,3,10,20170310,中壢分局,龍興所,121.2494,24.93478,汽車竊盜
106,3,10,20170310,中壢分局,龍興所,121.2377,24.93395,汽車竊盜
106,3,6,20170306,中壢分局,興國所,121.2058,24.96374,汽車竊盜
106,3,5,20170305,中壢分局,中福所,121.2239,24.96872,汽車竊盜
106,3,5,20170305,中壢分局,普仁所,121.2361,24.96301,汽車竊盜
106,3,4,20170304,中壢分局,文化所,121.25,24.97918,汽車竊盜
106,3,1,20170301,中壢分局,仁愛所,121.2668,24.95116,汽車竊盜
106,2,28,20170228,中壢分局,中壢所,121.2272,24.94831,汽車竊盜
106,2,24,20170224,中壢分局,仁愛所,121.2556,24.95696,汽車竊盜
106,2,21,20170221,中壢分局,仁愛所,121.2504,24.95662,汽車竊盜
106,2,19,20170219,中壢分局,中福所,121.2345,24.97364,汽車竊盜
106,2,19,20170219,中壢分局,興國所,121.2184,24.96655,汽車竊盜
106,2,17,20170217,中壢分局,普仁所,121.2331,24.95107,汽車竊盜
106,2,15,20170215,中壢分局,普仁所,121.2301,24.94651,汽車竊盜
106,2,4,20170204,中壢分局,龍興所,121.2494,24.92801,汽車竊盜
106,1,30,20170130,中壢分局,普仁所,121.2361,24.96301,汽車竊盜
106,1,28,20170128,中壢分局,龍興所,121.2533,24.9364,汽車竊盜
106,1,27,20170127,中壢分局,龍興所,121.2254,24.9398,汽車竊盜
