date,breau,month,year,station,lon,_id,time,type,lat
5,八德分局,3,110,高明所,121.2691937,105,1100305,汽車竊盜,24.9719737
4,中壢分局,3,110,內壢所,121.2537025,106,1100304,汽車竊盜,24.977815
1,中壢分局,3,110,自強所,121.2637941,107,1100301,汽車竊盜,24.9664232
24,龍潭分局,2,110,中興所,121.2307607,108,1100224,汽車竊盜,24.8753179
18,龜山分局,2,110,大林所,121.3300617,109,1100218,汽車竊盜,24.9847271
14,中壢分局,2,110,青埔所,121.2117069,110,1100214,汽車竊盜,25.0056165
14,龍潭分局,2,110,聖亭所,121.2018501,111,1100214,汽車竊盜,24.8891597
13,大溪分局,2,110,圳頂所,121.290787,112,1100213,汽車竊盜,24.9161377
13,楊梅分局,2,110,幼獅所,121.1699486,113,1100213,汽車竊盜,24.9216877
12,大溪分局,2,110,內柵所,121.2791958,114,1100212,汽車竊盜,24.8539292
8,大園分局,2,110,草漯所,121.1192938,115,1100208,汽車竊盜,25.0474687
6,平鎮分局,2,110,宋屋所,121.1995223,116,1100206,汽車竊盜,24.9307905
28,中壢分局,1,110,文化所,121.2394835,117,1100128,汽車竊盜,24.9626114
28,中壢分局,1,110,興國所,121.1966881,118,1100128,汽車竊盜,24.9567746
22,中壢分局,1,110,龍興所,121.2576705,119,1100122,汽車竊盜,24.9315718
22,龜山分局,1,110,大埔所,121.3713133,120,1100122,汽車竊盜,25.0276849
20,龍潭分局,1,110,龍潭所,121.2217707,121,1100120,汽車竊盜,24.8593453
14,龍潭分局,1,110,龍潭所,121.219388,122,1100114,汽車竊盜,24.861466
10,中壢分局,1,110,興國所,121.1995026,123,1100110,汽車竊盜,24.9615297
7,桃園分局,1,110,青溪所,121.309325,124,1100107,汽車竊盜,25.0040044
5,桃園分局,1,110,中路所,121.2898721,125,1100105,汽車竊盜,24.9706877
5,八德分局,1,110,廣興所,121.260633,126,1100105,汽車竊盜,24.928666
2,中壢分局,1,110,文化所,121.2423236,127,1100102,汽車竊盜,24.9662428
29,楊梅分局,12,109,草湳所,121.1666632,128,1091229,汽車竊盜,24.9082249
29,中壢分局,12,109,內壢所,121.2565002,129,1091229,汽車竊盜,24.9831647
29,楊梅分局,12,109,草湳所,121.1670326,130,1091229,汽車竊盜,24.9089857
13,桃園分局,12,109,青溪所,121.3323479,131,1091213,汽車竊盜,24.997158
12,桃園分局,12,109,景福所,121.3093663,132,1091212,汽車竊盜,24.9984103
9,平鎮分局,12,109,建安所,121.248998,133,1091209,汽車竊盜,24.9043351
4,龜山分局,12,109,龜山所,121.3294982,134,1091204,汽車竊盜,24.9970629
28,八德分局,11,109,八德所,121.2993545,135,1091128,汽車竊盜,24.9336602
27,大溪分局,11,109,圳頂所,121.2598059,136,1091127,汽車竊盜,24.8984408
22,大園分局,11,109,埔心所,121.2084892,137,1091122,汽車竊盜,25.0599345
12,龜山分局,11,109,大埔所,121.3742777,138,1091112,汽車竊盜,25.0294161
10,蘆竹分局,11,109,外社所,121.2860824,139,1091110,汽車竊盜,25.085355
4,中壢分局,11,109,青埔所,121.2119009,140,1091104,汽車竊盜,25.01946
25,桃園分局,10,109,龍安所,121.2833502,141,1091025,汽車竊盜,24.9924251
24,楊梅分局,10,109,楊梅所,121.1451457,142,1091024,汽車竊盜,24.9168882
20,楊梅分局,10,109,永安所,121.0280445,143,1091020,汽車竊盜,24.9881563
20,桃園分局,10,109,武陵所,121.3132471,144,1091020,汽車竊盜,24.9928932
13,中壢分局,10,109,青埔所,121.214342,145,1091013,汽車竊盜,25.0156111
9,中壢分局,10,109,普仁所,121.2433412,146,1091009,汽車竊盜,24.9506402
8,龜山分局,10,109,龜山所,121.3294956,147,1091008,汽車竊盜,24.9974982
6,桃園分局,10,109,龍安所,121.2823461,148,1091006,汽車竊盜,24.991954
1,蘆竹分局,10,109,南崁所,121.2841812,149,1091001,汽車竊盜,25.0711146
21,蘆竹分局,9,109,外社所,121.263352,150,1090921,汽車竊盜,25.0857946
19,中壢分局,9,109,仁愛所,121.2591674,151,1090919,汽車竊盜,24.9387176
11,中壢分局,9,109,興國所,121.21162,152,1090911,汽車竊盜,24.962112
8,蘆竹分局,9,109,南竹所,121.2742713,153,1090908,汽車竊盜,25.0584516
1,桃園分局,9,109,同安所,121.2982869,154,1090901,汽車竊盜,25.0300868
26,龍潭分局,8,109,聖亭所,121.2098411,155,1090826,汽車竊盜,24.8840525
24,平鎮分局,8,109,建安所,121.2538949,156,1090824,汽車竊盜,24.915898
21,大園分局,8,109,埔心所,121.2174269,157,1090821,汽車竊盜,25.0570169
1,蘆竹分局,8,109,南竹所,121.2838945,158,1090801,汽車竊盜,25.038087
15,平鎮分局,7,109,宋屋所,121.1813153,159,1090715,汽車竊盜,24.9534931
15,中壢分局,7,109,龍興所,121.2492638,160,1090715,汽車竊盜,24.9329885
30,龜山分局,6,109,大林所,121.3380542,161,1090630,汽車竊盜,24.9873901
29,中壢分局,6,109,龍興所,121.2349872,162,1090629,汽車竊盜,24.9282429
28,中壢分局,6,109,興國所,121.2102281,163,1090628,汽車竊盜,24.958227
24,大溪分局,6,109,三元所,121.2728177,164,1090624,汽車竊盜,24.8911471
19,龍潭分局,6,109,龍潭所,121.2174732,165,1090619,汽車竊盜,24.8564611
10,中壢分局,6,109,仁愛所,121.260826,166,1090610,汽車竊盜,24.9471992
9,龍潭分局,6,109,龍潭所,121.2212327,167,1090609,汽車竊盜,24.8554892
8,楊梅分局,6,109,楊梅所,121.1435745,168,1090608,汽車竊盜,24.9028029
8,平鎮分局,6,109,建安所,121.2340972,169,1090608,汽車竊盜,24.8996085
3,龍潭分局,6,109,聖亭所,121.2040677,170,1090603,汽車竊盜,24.8709681
2,中壢分局,6,109,龍興所,121.244869,171,1090602,汽車竊盜,24.9291019
2,楊梅分局,6,109,上湖所,121.1280764,172,1090602,汽車竊盜,24.9217919
29,楊梅分局,5,109,幼獅所,121.1366715,173,1090529,汽車竊盜,24.9242108
26,中壢分局,5,109,普仁所,121.2327477,174,1090526,汽車竊盜,24.9605981
25,中壢分局,5,109,文化所,121.2476073,175,1090525,汽車竊盜,24.9835274
25,蘆竹分局,5,109,大竹所,121.2610371,176,1090525,汽車竊盜,25.0158929
19,龍潭分局,5,109,聖亭所,121.2027561,177,1090519,汽車竊盜,24.8852793
18,龜山分局,5,109,大林所,121.3352309,178,1090518,汽車竊盜,24.9942013
